<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,,PRICE,TOTAL,TOTALIF,IF,
04.09.2020,10:03:00,109445,114996,107903,108949,86,,"110323,25","9487799,5",,0,0
04.09.2020,10:04:00,110593,115263,107988,108850,49,,"110673,5","5423001,5",,0,0
04.09.2020,10:05:00,113380,115238,108146,110537,57,,"111825,25","6374039,25",,0,0
04.09.2020,10:06:00,110623,115221,107933,114359,87,,112034,9746958,,1,0
04.09.2020,10:07:00,114456,115139,107933,109004,36,,111633,4018788,,0,0
04.09.2020,10:08:00,114430,115201,107949,112990,52,,"112642,5",5857410,,0,0
04.09.2020,10:09:00,111756,115262,107946,114300,54,,112316,6065064,,1,0
04.09.2020,10:10:00,110743,115220,108585,111928,38,,111619,4241522,,1,0
04.09.2020,10:11:00,114576,114715,107941,112087,47,,"112329,75","5279498,25",,0,0
04.09.2020,10:12:00,113211,114974,108022,111199,35,,"111851,5","3914802,5",,0,0
04.09.2020,10:13:00,108862,115073,107918,111872,30,,"110931,25","3327937,5",,1,0
04.09.2020,10:14:00,108459,115183,108039,112751,9,,111108,999972,,1,0
04.09.2020,10:15:00,113053,115028,108218,109863,80,,"111540,5",8923240,,0,0
04.09.2020,10:16:00,113244,115224,107949,108504,28,,"111230,25",3114447,,0,0
04.09.2020,10:17:00,114496,115108,107937,112906,14,,"112611,75","1576564,5",,0,0
04.09.2020,10:18:00,110750,114953,108217,114086,86,,"112001,5",9632129,,1,0
04.09.2020,10:19:00,112864,115298,107995,111568,57,,"111931,25","6380081,25",,0,0
04.09.2020,10:20:00,111668,115252,107959,110529,91,,111352,10133032,,0,0
04.09.2020,10:21:00,110044,115066,108211,109800,21,,"110780,25","2326385,25",,0,0
04.09.2020,10:22:00,109677,115251,108039,114767,58,,"111933,5",6492143,,1,0
04.09.2020,10:23:00,112852,115289,107905,111081,78,,"111781,75","8718976,5",,0,0
04.09.2020,10:24:00,110506,115176,107919,110282,88,,"110970,75",9765426,,0,0
04.09.2020,10:25:00,109374,115214,107925,109778,38,,"110572,75","4201764,5",,1,0
04.09.2020,10:26:00,112813,115268,108018,114095,31,,"112548,5","3489003,5",,1,0
04.09.2020,10:27:00,108479,115293,108244,110407,29,,"110605,75","3207566,75",,1,0
04.09.2020,10:28:00,112904,115126,107908,108406,88,,111086,9775568,,0,0
04.09.2020,10:29:00,111028,115149,107910,111855,74,,"111485,5",8249927,,1,0
04.09.2020,10:30:00,112096,115053,108155,113330,29,,"112158,5","3252596,5",,1,0
04.09.2020,10:31:00,110866,115011,108326,114383,3,,"112146,5","336439,5",,1,0
04.09.2020,10:32:00,114604,115109,108095,109808,55,,111904,6154720,,0,0
04.09.2020,10:33:00,109774,115162,107965,114035,28,,111734,3128552,,1,0
04.09.2020,10:34:00,108854,115223,107997,109388,61,,"110365,5","6732295,5",,1,0
04.09.2020,10:35:00,113372,115290,108020,110832,42,,"111878,5",4698897,,0,0
04.09.2020,10:36:00,110484,115246,107949,114756,51,,"112108,75","5717546,25",,1,0
04.09.2020,10:37:00,113491,115211,108002,110520,55,,111806,6149330,,0,0
04.09.2020,10:38:00,114498,115198,107902,113688,60,,"112821,5",6769290,,0,0
04.09.2020,10:39:00,112480,115287,107998,112023,47,,111947,5261509,,0,0
04.09.2020,10:40:00,111598,115179,107913,113656,23,,"112086,5","2577989,5",,1,0
04.09.2020,10:41:00,111930,115285,107928,110938,37,,"111520,25","4126249,25",,0,0
04.09.2020,10:42:00,110561,115192,107929,113587,7,,"111817,25","782720,75",,1,0
04.09.2020,10:43:00,109906,115214,108022,111484,46,,"111156,5",5113199,,1,0
04.09.2020,10:44:00,113937,115071,108035,111547,85,,"112147,5","9532537,5",,0,0
04.09.2020,10:45:00,114535,115242,107988,110483,74,,112062,8292588,,0,0
04.09.2020,10:46:00,110346,115243,108281,110431,35,,"111075,25","3887633,75",,1,0
04.09.2020,10:47:00,114491,115039,108072,112651,12,,"112563,25",1350759,,0,0
04.09.2020,10:48:00,109183,115275,107991,114689,11,,"111784,5","1229629,5",,1,0
04.09.2020,10:49:00,114686,115061,107924,109617,62,,111822,6932964,,0,0
04.09.2020,10:50:00,112806,115259,107981,111236,27,,"111820,5","3019153,5",,0,0
04.09.2020,10:51:00,109452,115288,108089,112798,15,,"111406,75","1671101,25",,1,0
04.09.2020,10:52:00,115084,115084,108104,109510,33,,"111945,5","3694201,5",,0,0
04.09.2020,10:53:00,114816,115244,108152,112255,50,,"112616,75","5630837,5",,0,0
04.09.2020,10:54:00,111830,115241,107912,111642,23,,"111656,25","2568093,75",,0,0
04.09.2020,10:55:00,109662,115144,107902,109121,6,,"110457,25","662743,5",,0,0
04.09.2020,10:56:00,112796,115096,107979,107979,80,,"110962,5",8877000,,0,0
04.09.2020,10:57:00,114161,115259,107972,109168,64,,111640,7144960,,0,0
04.09.2020,10:58:00,108751,115268,108297,111213,29,,"110882,25","3215585,25",,1,0
04.09.2020,10:59:00,114198,115249,108018,115220,96,,"113171,25",10864440,,1,0
04.09.2020,11:00:00,111372,115183,108082,108977,26,,"110903,5",2883491,,0,0
04.09.2020,11:01:00,109972,115156,107917,110162,39,,"110801,75","4321268,25",,1,0
04.09.2020,11:02:00,109224,115297,107934,111872,22,,"111081,75","2443798,5",,1,0
04.09.2020,11:03:00,111063,115109,107901,112865,72,,"111734,5",8044884,,1,0
04.09.2020,11:04:00,110084,115119,108058,109818,32,,"110769,75",3544632,,0,0
04.09.2020,11:05:00,111060,114960,107982,108988,24,,"110747,5",2657940,,0,0
04.09.2020,11:06:00,109644,115176,108018,112524,14,,"111340,5",1558767,,1,0
04.09.2020,11:07:00,108514,115249,107952,111867,41,,"110895,5","4546715,5",,1,0
04.09.2020,11:08:00,114934,115188,108044,109385,55,,"111887,75","6153826,25",,0,0
04.09.2020,11:09:00,110304,115277,107923,107933,34,,"110359,25","3752214,5",,0,0
04.09.2020,11:10:00,111770,115056,108082,109679,78,,"111146,75","8669446,5",,0,0
04.09.2020,11:11:00,108406,115213,108081,113416,4,,111279,445116,,1,0
04.09.2020,11:12:00,115107,115269,108063,112683,51,,"112780,5","5751805,5",,0,0
04.09.2020,11:13:00,110904,115286,108063,112330,48,,"111645,75",5358996,,1,0
04.09.2020,11:14:00,111876,115270,107930,109267,67,,"111085,75","7442745,25",,0,0
04.09.2020,11:15:00,111354,115268,107940,113525,11,,"112021,75","1232239,25",,1,0
04.09.2020,11:16:00,110733,115236,108324,112620,23,,"111728,25","2569749,75",,1,0
04.09.2020,11:17:00,113747,115286,108205,112359,85,,"112399,25","9553936,25",,0,0
04.09.2020,11:18:00,113383,115241,107947,112778,57,,"112337,25","6403223,25",,0,0
04.09.2020,11:19:00,113493,115257,107956,108255,47,,"111240,25","5228291,75",,0,0
04.09.2020,11:20:00,110277,115298,107913,109441,56,,"110732,25",6201006,,0,0
04.09.2020,11:21:00,112343,115118,108137,108244,69,,"110960,5","7656274,5",,0,0
04.09.2020,11:22:00,111967,115278,107989,111388,83,,"111655,5","9267406,5",,0,0
04.09.2020,11:23:00,112359,115297,107993,114605,6,,"112563,5",675381,,1,0
04.09.2020,11:24:00,109478,115230,107903,114530,54,,"111785,25","6036403,5",,1,0
04.09.2020,11:25:00,113260,115287,107956,111694,84,,"112049,25",9412137,,0,0
04.09.2020,11:26:00,110959,115293,108060,114968,13,,112320,1460160,,1,0
04.09.2020,11:27:00,114777,115282,108022,114306,33,,"113096,75","3732192,75",,0,0
04.09.2020,11:28:00,108390,115298,108312,113758,43,,"111439,5","4791898,5",,1,0
04.09.2020,11:29:00,113127,114972,107907,114702,47,,112677,5295819,,1,0
04.09.2020,11:30:00,113099,115207,108462,109612,96,,111595,10713120,,0,0
04.09.2020,11:31:00,111577,115156,107983,113300,66,,112004,7392264,,1,0
04.09.2020,11:32:00,111748,115061,107941,108326,80,,110769,8861520,,0,0
04.09.2020,11:33:00,108095,115053,108095,114142,39,,"111346,25","4342503,75",,1,0
04.09.2020,11:34:00,113218,115131,107979,110915,49,,"111810,75","5478726,75",,0,0
04.09.2020,11:35:00,110839,115194,108102,112154,71,,"111572,25","7921629,75",,1,0
04.09.2020,11:36:00,111573,114999,107946,112427,87,,"111736,25","9721053,75",,1,0
04.09.2020,11:37:00,109323,115279,108012,110360,15,,"110743,5","1661152,5",,1,0
04.09.2020,11:38:00,114054,115168,107946,108519,80,,"111421,75",8913740,,0,0
04.09.2020,11:39:00,112719,114991,108209,113805,83,,112431,9331773,,1,0
04.09.2020,11:40:00,112736,115207,108250,109864,21,,"111514,25","2341799,25",,0,0
04.09.2020,11:41:00,108948,115116,107961,111065,30,,"110772,5",3323175,,1,0
04.09.2020,11:42:00,109956,115080,107928,114256,49,,111805,5478445,,1,0
04.09.2020,11:43:00,112897,115294,108013,111754,18,,"111989,5",2015811,,0,0
04.09.2020,11:44:00,109125,115139,107904,113580,96,,111437,10697952,,1,0
04.09.2020,11:45:00,108331,115252,108296,111660,37,,"110884,75","4102735,75",,1,0
04.09.2020,11:46:00,113187,115285,107934,110005,70,,"111602,75","7812192,5",,0,0
04.09.2020,11:47:00,107909,115057,107909,111673,80,,110637,8850960,,1,0
04.09.2020,11:48:00,110435,115245,108136,111380,76,,111299,8458724,,1,0
04.09.2020,11:49:00,112018,115171,107910,111288,85,,"111596,75","9485723,75",,0,0
04.09.2020,11:50:00,112037,114460,107925,109697,65,,"111029,75","7216933,75",,0,0
04.09.2020,11:51:00,109453,115272,108024,115272,65,,"112005,25","7280341,25",,1,0
04.09.2020,11:52:00,109502,115293,108235,110747,74,,"110944,25","8209874,5",,1,0
04.09.2020,11:53:00,112082,115275,107917,109576,25,,"111212,5","2780312,5",,0,0
04.09.2020,11:54:00,110688,115297,108003,113315,32,,"111825,75",3578424,,1,0
04.09.2020,11:55:00,110067,115292,107954,114259,47,,111893,5258971,,1,0
04.09.2020,11:56:00,114146,115272,107903,110299,6,,111905,671430,,0,0
04.09.2020,11:57:00,110078,115053,108131,111377,88,,"111159,75",9782058,,1,0
04.09.2020,11:58:00,108164,115271,108030,111382,68,,"110711,75",7528399,,1,0
04.09.2020,11:59:00,112551,115287,107952,113338,81,,112282,9094842,,1,0
04.09.2020,12:00:00,114866,115271,108009,114089,65,,"113058,75","7348818,75",,0,0
04.09.2020,12:01:00,110980,115054,107903,110319,68,,111064,7552352,,0,0
04.09.2020,12:02:00,110812,115196,107915,110113,76,,111009,8436684,,0,0
04.09.2020,12:03:00,111821,115251,108030,108111,94,,"110803,25","10415505,5",,0,0
04.09.2020,12:04:00,113339,115079,107903,108149,31,,"111117,5","3444642,5",,0,0
04.09.2020,12:05:00,110817,115139,108633,115004,16,,"112398,25",1798372,,1,0
04.09.2020,12:06:00,113654,115113,107903,113238,24,,112477,2699448,,0,0
04.09.2020,12:07:00,109518,115275,108073,110914,2,,110945,221890,,1,0
04.09.2020,12:08:00,111245,115277,107956,112159,7,,"111659,25","781614,75",,1,0
04.09.2020,12:09:00,113672,115277,107958,108528,54,,"111358,75","6013372,5",,0,0
04.09.2020,12:10:00,112365,115206,108020,113688,4,,"112319,75",449279,,1,0
04.09.2020,12:11:00,111568,115018,108022,109349,76,,"110989,25",8435183,,0,0
04.09.2020,12:12:00,113936,115257,107971,108297,71,,"111365,25","7906932,75",,0,0
04.09.2020,12:13:00,109546,115219,107957,113746,37,,111617,4129829,,1,0
04.09.2020,12:14:00,111011,115197,108037,108802,16,,"110761,75",1772188,,0,0
04.09.2020,12:15:00,112744,115080,107925,114273,3,,"112505,5","337516,5",,1,0
04.09.2020,12:16:00,108965,115198,108209,108244,46,,110154,5067084,,0,0
04.09.2020,12:17:00,112396,115187,107961,112676,34,,112055,3809870,,1,0
04.09.2020,12:18:00,114106,115105,108176,110888,13,,"112068,75","1456893,75",,0,0
04.09.2020,12:19:00,112339,115185,107978,113216,68,,"112179,5",7628206,,1,0
04.09.2020,12:20:00,114599,115255,108153,115176,86,,"113295,75","9743434,5",,1,0
04.09.2020,12:21:00,109142,115102,107999,113872,48,,"111528,75",5353380,,1,0
04.09.2020,12:22:00,115225,115225,107930,112486,53,,"112716,5","5973974,5",,0,0
04.09.2020,12:23:00,115086,115086,107905,109636,59,,"111928,25","6603766,75",,0,0
04.09.2020,12:24:00,110376,115279,107951,111533,53,,"111284,75","5898091,75",,1,0
04.09.2020,12:25:00,112259,115135,108315,109946,97,,"111413,75","10807133,75",,0,0
04.09.2020,12:26:00,112282,115243,108068,113304,52,,"112224,25",5835661,,1,0
04.09.2020,12:27:00,108354,115233,108121,112260,20,,110992,2219840,,1,0
04.09.2020,12:28:00,113992,115054,107917,112186,94,,"112287,25","10555001,5",,0,0
04.09.2020,12:29:00,112474,115245,107986,113904,3,,"112402,25","337206,75",,1,0
04.09.2020,12:30:00,110567,115176,107907,114022,55,,111918,6155490,,1,0
04.09.2020,12:31:00,112840,115297,107977,113519,84,,"112408,25",9442293,,1,0
04.09.2020,12:32:00,113871,115258,107958,110325,23,,111853,2572619,,0,0
04.09.2020,12:33:00,114792,115168,107934,112815,74,,"112677,25","8338116,5",,0,0
04.09.2020,12:34:00,108358,115194,107973,109814,96,,"110334,75",10592136,,1,0
04.09.2020,12:35:00,114006,115225,107900,107900,90,,"111257,75","10013197,5",,0,0
04.09.2020,12:36:00,108970,115039,108034,114740,77,,"111695,75","8600572,75",,1,0
04.09.2020,12:37:00,112871,115259,108304,113912,61,,"112586,5","6867776,5",,1,0
04.09.2020,12:38:00,114216,114859,107981,109986,74,,"111760,5",8270277,,0,0
04.09.2020,12:39:00,111930,115051,107937,112318,29,,111809,3242461,,1,0
04.09.2020,12:40:00,114455,115265,108051,108439,57,,"111552,5","6358492,5",,0,0
04.09.2020,12:41:00,110122,115258,108008,109295,51,,"110670,75","5644208,25",,0,0
04.09.2020,12:42:00,113482,115186,108056,112806,35,,"112382,5","3933387,5",,0,0
04.09.2020,12:43:00,114628,115165,108091,113407,76,,"112822,75",8574529,,0,0
04.09.2020,12:44:00,113854,115127,108016,111831,97,,112207,10884079,,0,0
04.09.2020,12:45:00,114370,115293,107948,108194,92,,"111451,25",10253515,,0,0
04.09.2020,12:46:00,112954,115231,107913,111335,24,,"111858,25",2684598,,0,0
04.09.2020,12:47:00,108976,115023,107934,114063,78,,111499,8696922,,1,0
04.09.2020,12:48:00,115154,115277,107969,109785,93,,"112046,25","10420301,25",,0,0
04.09.2020,12:49:00,109224,115169,108148,115029,57,,"111892,5","6377872,5",,1,0
04.09.2020,12:50:00,110938,115289,107947,109839,34,,"111003,25","3774110,5",,0,0
04.09.2020,12:51:00,112376,115136,108086,112196,68,,"111948,5",7612498,,0,0
04.09.2020,12:52:00,108080,114961,107917,111158,34,,110529,3757986,,1,0
04.09.2020,12:53:00,108466,115165,108044,114151,14,,"111456,5",1560391,,1,0
04.09.2020,12:54:00,108888,115297,108076,115236,1,,"111874,25","111874,25",,1,0
04.09.2020,12:55:00,108434,115144,107905,114409,58,,111473,6465434,,1,0
04.09.2020,12:56:00,109183,115212,108314,109598,10,,"110576,75","1105767,5",,1,0
04.09.2020,12:57:00,108836,115262,108219,113420,64,,"111434,25",7131792,,1,0
04.09.2020,12:58:00,113192,115222,107928,110389,1,,"111682,75","111682,75",,0,0
04.09.2020,12:59:00,108080,115109,108080,115109,50,,"111594,5",5579725,,1,0
04.09.2020,13:00:00,110745,115218,108002,113274,58,,"111809,75","6484965,5",,1,0
04.09.2020,13:01:00,113008,115156,107923,109491,64,,"111394,5",7129248,,0,0
04.09.2020,13:02:00,113859,115233,108068,112671,13,,"112457,75","1461950,75",,0,0
04.09.2020,13:03:00,114447,114935,107902,113130,8,,"112603,5",900828,,0,0
04.09.2020,13:04:00,111174,114929,108175,112274,74,,111638,8261212,,1,0
04.09.2020,13:05:00,114700,115243,107993,109263,5,,"111799,75","558998,75",,0,0
04.09.2020,13:06:00,113479,114979,107967,109081,26,,"111376,5",2895789,,0,0
04.09.2020,13:07:00,111053,115239,108081,114200,70,,"112143,25","7850027,5",,1,0
04.09.2020,13:08:00,112405,115016,107946,111574,54,,"111735,25","6033703,5",,0,0
04.09.2020,13:09:00,113504,114990,108032,110897,18,,"111855,75","2013403,5",,0,0
04.09.2020,13:10:00,108931,114966,107939,114148,48,,111496,5351808,,1,0
04.09.2020,13:11:00,109102,115210,107971,110693,9,,110744,996696,,1,0
04.09.2020,13:12:00,113741,115169,107950,111622,71,,"112120,5","7960555,5",,0,0
04.09.2020,13:13:00,113269,115064,107924,112908,21,,"112291,25","2358116,25",,0,0
04.09.2020,13:14:00,113620,114985,107907,110041,45,,"111638,25","5023721,25",,0,0
04.09.2020,13:15:00,111460,115185,108057,114773,79,,"112368,75","8877131,25",,1,0
04.09.2020,13:16:00,113827,115261,107933,113358,86,,"112594,75","9683148,5",,0,0
04.09.2020,13:17:00,115276,115276,107950,114536,27,,"113259,5","3058006,5",,0,0
04.09.2020,13:18:00,112862,115051,107919,113703,27,,"112383,75","3034361,25",,1,0
04.09.2020,13:19:00,113032,115299,108320,115191,72,,"112960,5",8133156,,1,0
04.09.2020,13:20:00,110990,115289,108091,114475,33,,"112211,25","3702971,25",,1,0
04.09.2020,13:21:00,113561,114956,108079,110010,19,,"111651,5","2121378,5",,0,0
04.09.2020,13:22:00,112247,115022,108014,109422,4,,"111176,25",444705,,0,0
04.09.2020,13:23:00,109693,115271,108176,112184,7,,111331,779317,,1,0
04.09.2020,13:24:00,109817,115089,108212,110747,26,,"110966,25","2885122,5",,1,0
04.09.2020,13:25:00,108065,115074,107997,114496,46,,111408,5124768,,1,0
04.09.2020,13:26:00,115101,115225,107903,113405,97,,"112908,5","10952124,5",,0,0
04.09.2020,13:27:00,113690,115271,108010,112809,10,,112445,1124450,,0,0
04.09.2020,13:28:00,108501,114857,108006,113991,97,,"111338,75","10799858,75",,1,0
04.09.2020,13:29:00,111660,115280,107972,111083,57,,"111498,75","6355428,75",,0,0
04.09.2020,13:30:00,109808,115201,107913,114743,31,,"111916,25","3469403,75",,1,0
04.09.2020,13:31:00,114561,115274,108323,111404,15,,"112390,5","1685857,5",,0,0
04.09.2020,13:32:00,115101,115254,108428,111858,67,,"112660,25","7548236,75",,0,0
04.09.2020,13:33:00,109777,115207,107952,114115,38,,"111762,75","4246984,5",,1,0
04.09.2020,13:34:00,113951,115087,107981,113419,34,,"112609,5",3828723,,0,0
04.09.2020,13:35:00,112807,115274,108161,112796,36,,"112259,5",4041342,,0,0
04.09.2020,13:36:00,114191,115295,108051,111828,3,,"112341,25","337023,75",,0,0
04.09.2020,13:37:00,112390,115137,107913,109349,61,,"111197,25","6783032,25",,0,0
04.09.2020,13:38:00,112049,114859,107980,111607,50,,"111623,75","5581187,5",,0,0
04.09.2020,13:39:00,113475,115293,107973,112978,29,,"112429,75","3260462,75",,0,0
04.09.2020,13:40:00,112477,115243,107913,113992,58,,"112406,25","6519562,5",,1,0
04.09.2020,13:41:00,109035,115299,107937,108406,3,,"110169,25","330507,75",,0,0
04.09.2020,13:42:00,111939,114999,108017,109027,71,,"110995,5","7880680,5",,0,0
04.09.2020,13:43:00,109361,115172,108070,109364,21,,"110491,75","2320326,75",,1,0
04.09.2020,13:44:00,113342,114570,107914,110303,39,,"111532,25","4349757,75",,0,0
04.09.2020,13:45:00,113733,114959,108008,113969,29,,"112667,25","3267350,25",,1,0
04.09.2020,13:46:00,109713,115127,108141,112174,23,,"111288,75","2559641,25",,1,0
04.09.2020,13:47:00,113413,115016,107923,111010,6,,"111840,5",671043,,0,0
04.09.2020,13:48:00,111827,115212,107967,115004,55,,"112502,5","6187637,5",,1,0
04.09.2020,13:49:00,111435,115284,107936,113152,72,,"111951,75",8060526,,1,0
04.09.2020,13:50:00,111536,115291,108194,114082,45,,"112275,75","5052408,75",,1,0
04.09.2020,13:51:00,112722,115120,107972,112424,17,,"112059,5","1905011,5",,0,0
04.09.2020,13:52:00,112548,115292,108244,110233,11,,"111579,25","1227371,75",,0,0
04.09.2020,13:53:00,108025,115247,108025,114408,57,,"111426,25","6351296,25",,1,0
04.09.2020,13:54:00,113695,115121,107915,113704,1,,"112608,75","112608,75",,1,0
04.09.2020,13:55:00,112007,115209,107973,108005,22,,"110798,5",2437567,,0,0
04.09.2020,13:56:00,113571,115207,107957,112728,52,,"112365,75",5843019,,0,0
04.09.2020,13:57:00,108298,115244,108105,108522,4,,"110042,25",440169,,1,0
04.09.2020,13:58:00,114528,114887,107963,111405,82,,"112195,75","9200051,5",,0,0
04.09.2020,13:59:00,109014,115042,107955,108130,14,,"110035,25","1540493,5",,0,0
04.09.2020,14:00:00,111569,115230,107954,112205,86,,"111739,5",9609597,,1,0
04.09.2020,14:01:00,112693,115264,107903,112886,62,,"112186,5",6955563,,1,0
04.09.2020,14:02:00,113561,114969,107908,111662,17,,112025,1904425,,0,0
04.09.2020,14:03:00,112739,115131,108068,111296,53,,"111808,5","5925850,5",,0,0
04.09.2020,14:04:00,115112,115173,108403,113569,45,,"113064,25","5087891,25",,0,0
04.09.2020,14:05:00,111388,114999,107987,111019,50,,"111348,25","5567412,5",,0,0
04.09.2020,14:06:00,115189,115206,108254,113639,41,,113072,4635952,,0,0
04.09.2020,14:07:00,109159,115101,108012,110600,48,,110718,5314464,,1,0
04.09.2020,14:08:00,112427,115131,108000,112961,80,,"112129,75",8970380,,1,0
04.09.2020,14:09:00,112594,115235,108192,114207,30,,112557,3376710,,1,0
04.09.2020,14:10:00,112784,115285,108015,110866,5,,"111737,5","558687,5",,0,0
04.09.2020,14:11:00,112132,115279,108094,114029,64,,"112383,5",7192544,,1,0
04.09.2020,14:12:00,113278,115026,107961,108663,96,,111232,10678272,,0,0
04.09.2020,14:13:00,112464,115264,107930,114002,50,,112415,5620750,,1,0
04.09.2020,14:14:00,108014,115227,108014,108539,16,,"109948,5",1759176,,1,0
04.09.2020,14:15:00,110921,115118,107936,114873,37,,112212,4151844,,1,0
04.09.2020,14:16:00,111412,115247,108087,112982,58,,111932,6492056,,1,0
04.09.2020,14:17:00,111326,115102,108073,108083,7,,110646,774522,,0,0
04.09.2020,14:18:00,113543,115283,108193,110720,50,,"111934,75","5596737,5",,0,0
04.09.2020,14:19:00,110708,115093,107984,114957,27,,"112185,5","3029008,5",,1,0
04.09.2020,14:20:00,109782,115282,107902,115117,36,,"112020,75",4032747,,1,0
04.09.2020,14:21:00,109980,115149,107945,111623,77,,"111174,25","8560417,25",,1,0
04.09.2020,14:22:00,112893,115143,108035,115061,38,,112783,4285754,,1,0
04.09.2020,14:23:00,109191,115180,108037,110148,44,,110639,4868116,,1,0
04.09.2020,14:24:00,108964,115113,107994,109799,8,,"110467,5",883740,,1,0
04.09.2020,14:25:00,111456,115268,108024,108084,30,,110708,3321240,,0,0
04.09.2020,14:26:00,110688,114733,108023,108880,96,,110581,10615776,,0,0
04.09.2020,14:27:00,112943,115236,107950,110503,50,,111658,5582900,,0,0
04.09.2020,14:28:00,113123,115163,108455,108776,41,,"111379,25","4566549,25",,0,0
04.09.2020,14:29:00,115112,115216,107956,109801,44,,"112021,25",4928935,,0,0
04.09.2020,14:31:00,109698,115279,108008,108314,71,,"110324,75","7833057,25",,0,0
04.09.2020,14:32:00,111790,115098,108124,112764,88,,111944,9851072,,1,0
04.09.2020,14:33:00,110985,115296,107923,109729,94,,"110983,25","10432425,5",,0,0
04.09.2020,14:34:00,113124,115178,108221,111606,89,,"112032,25","9970870,25",,0,0
04.09.2020,14:35:00,113122,115212,108008,114477,78,,"112704,75","8790970,5",,1,0
04.09.2020,14:36:00,114652,115156,108122,112564,52,,"112623,5",5856422,,0,0
04.09.2020,14:37:00,114753,115156,107992,112717,75,,"112654,5","8449087,5",,0,0
04.09.2020,14:38:00,109799,115147,107995,113294,80,,"111558,75",8924700,,1,0
04.09.2020,14:39:00,114865,114927,108023,110256,11,,"112017,75","1232195,25",,0,0
04.09.2020,14:40:00,114308,115298,107949,108676,46,,"111557,75","5131656,5",,0,0
04.09.2020,14:41:00,112557,115282,108006,114513,11,,"112589,5","1238484,5",,1,0
04.09.2020,14:42:00,111825,115127,108139,112756,87,,"111961,75","9740672,25",,1,0
04.09.2020,14:43:00,110590,115154,107943,108537,42,,110556,4643352,,0,0
04.09.2020,14:44:00,112754,114756,107908,108936,56,,"111088,5",6220956,,0,0
04.09.2020,14:45:00,112928,115083,108005,114743,25,,"112689,75","2817243,75",,1,0
04.09.2020,14:46:00,113392,115229,108078,114147,1,,"112711,5","112711,5",,1,0
04.09.2020,14:47:00,111842,114981,107980,109903,61,,"111176,5","6781766,5",,0,0
04.09.2020,14:48:00,114058,115295,108087,114782,93,,"113055,5","10514161,5",,1,0
04.09.2020,14:49:00,111982,114793,108045,109282,14,,"111025,5",1554357,,0,0
04.09.2020,14:50:00,113123,115234,107941,108269,35,,"111141,75","3889961,25",,0,0
04.09.2020,14:51:00,114720,115208,108006,115091,96,,"113256,25",10872600,,1,0
04.09.2020,14:52:00,112052,115278,107923,113243,81,,112124,9082044,,1,0
04.09.2020,14:53:00,109821,115286,107932,110626,44,,"110916,25",4880315,,1,0
04.09.2020,14:54:00,108636,115203,107912,113266,41,,"111254,25","4561424,25",,1,0
04.09.2020,14:55:00,109143,115208,108114,113189,81,,"111413,5","9024493,5",,1,0
04.09.2020,14:56:00,114466,115259,108027,109350,24,,"111775,5",2682612,,0,0
04.09.2020,14:57:00,114218,115153,107963,109884,72,,"111804,5",8049924,,0,0
04.09.2020,14:58:00,115288,115288,107906,111413,96,,"112473,75",10797480,,0,0
04.09.2020,14:59:00,114482,115034,107944,112675,90,,"112533,75","10128037,5",,0,0
04.09.2020,15:00:00,110664,115219,107919,108932,11,,"110683,5","1217518,5",,0,0
04.09.2020,15:01:00,113126,115156,108160,110880,49,,"111830,5","5479694,5",,0,0
04.09.2020,15:02:00,109734,114953,108229,110721,10,,"110909,25","1109092,5",,1,0
04.09.2020,15:03:00,114167,115061,108231,109601,20,,111765,2235300,,0,0
04.09.2020,15:04:00,112254,115273,107996,110798,23,,"111580,25","2566345,75",,0,0
04.09.2020,15:05:00,112888,114941,107973,114835,55,,"112659,25","6196258,75",,1,0
04.09.2020,15:06:00,110636,115265,108052,111959,3,,111478,334434,,1,0
04.09.2020,15:07:00,112846,115190,108057,114802,70,,"112723,75","7890662,5",,1,0
04.09.2020,15:08:00,112482,115175,107900,111864,8,,"111855,25",894842,,0,0
04.09.2020,15:09:00,113558,115299,107944,110749,86,,"111887,5",9622325,,0,0
04.09.2020,15:10:00,109106,115196,107918,111415,92,,"110908,75",10203605,,1,0
04.09.2020,15:11:00,114719,115159,107944,108481,6,,"111575,75","669454,5",,0,0
04.09.2020,15:12:00,114357,115271,107980,112913,14,,"112630,25","1576823,5",,0,0
04.09.2020,15:13:00,113324,115120,107945,111159,39,,111887,4363593,,0,0
04.09.2020,15:14:00,110545,115212,107902,110459,42,,"111029,5",4663239,,0,0
04.09.2020,15:15:00,114226,114972,108036,108561,45,,"111448,75","5015193,75",,0,0
04.09.2020,15:16:00,113392,115247,107969,112921,60,,"112382,25",6742935,,0,0
04.09.2020,15:17:00,110229,115298,108002,111770,6,,"111324,75","667948,5",,1,0
04.09.2020,15:18:00,114762,115028,107993,111683,69,,"112366,5","7753288,5",,0,0
04.09.2020,15:19:00,109231,115069,108015,108661,10,,110244,1102440,,0,0
04.09.2020,15:20:00,112676,115249,108108,114671,38,,112676,4281688,,1,0
04.09.2020,15:21:00,113867,115176,107923,114258,65,,112806,7332390,,1,0
04.09.2020,15:22:00,110587,115236,108038,112216,43,,"111519,25","4795327,75",,1,0
04.09.2020,15:23:00,113695,115299,107929,113268,33,,"112547,75","3714075,75",,0,0
04.09.2020,15:24:00,110164,115155,108030,110120,30,,"110867,25","3326017,5",,0,0
